Date,Name,Cost
06/11,BEST BUY MHT 00005967,58.58
06/11,CITY OF WALTHAM,1.25
06/12,SPEEDWAY 02426,76.34
06/15,BURGER KING #370 Q07,50.19
06/18,MICRO CENTER #121,322.17
06/18,ROD D BY SITTI,55.43
06/21,Subway 36638,23.71
06/22,VILLAGE MARKET,5.74
06/22,CHILLBOX,24.31
06/23,SPEEDWAY 02426,86.81
06/25,ROD D BY S* ROD D BY S,86.35
06/25,CITY OF WALTHAM,1.25
06/27,AK S WALTHAM,29.94
06/28,SQ *ISTANBUL DINER CAF,97.05
06/28,TANGO MANGO RESTAURANT,45.68
06/28,MGH PARKING FRUIT&PARK,12.00
06/29,WALGREENS #2669,19.77
07/01,551 BOWLMOR 8003425263 WHITE,162.12
07/01,551 BOWLMOR 8003425263 WHITE,28.81
07/03,SP NOMINALX.COM,42.50
07/03,CANCUNS FAMILY MEXICAN RED,131.84
07/04,GOOGLE,17.99
07/06,THAI ANGELS MOUNT,269.11
07/06,BP#5822317VILLAGE,76.86
07/09,ARMS GLOBAL INC NEW,26.99
